,size
0,8.0
1,8.0
2,9.0
3,25.0
4,9.0
5,10.0
6,10.0
7,9.0
8,10.0
9,10.0
10,8.0
11,9.0
12,9.0
13,10.0
14,22.0
15,11.0
16,18.0
17,18.0
18,18.0
19,11.0
20,15.0
21,15.0
22,18.0
23,11.0
24,6.0
25,26.2
26,26.2
27,26.2
28,26.2
29,26.2
30,15.0
31,60.0
32,60.0
33,60.0
34,60.0
35,60.0
36,60.0
37,60.0
38,11.0
39,11.0
40,18.0
41,18.0
42,18.0
43,18.0
44,15.0
45,40.0
46,20.0
47,14.0
48,22.0
49,32.0
50,16.0
51,34.0
52,44.0
53,8.0
54,40.0
55,21.0
56,28.0
57,13.0
58,10.0
59,17.0
60,10.0
61,26.2
62,26.2
63,26.2
64,26.2
65,26.2
66,26.2
67,26.2
68,26.2
69,26.2
70,26.2
71,26.2
72,60.0
73,15.0
74,15.0
75,20.0
76,20.0
77,25.0
78,25.0
79,15.0
80,25.0
81,35.0
82,22.0
83,35.0
84,35.0
85,35.0
86,60.0
87,48.0
88,60.0
89,60.0
90,50.0
91,60.0
92,45.0
93,10.0
94,15.0
95,15.0
96,15.0
97,55.0
98,55.0
99,49.0
100,46.0
101,46.0
102,51.0
103,15.0
104,15.0
105,15.0
106,15.0
107,15.0
108,15.0
109,15.0
110,15.0
111,15.0
112,15.0
113,15.0
114,15.0
115,15.0
116,15.0
117,15.0
118,15.0
119,15.0
120,15.0
121,29.0
122,15.0
123,15.0
124,29.0
125,15.0
126,15.0
127,15.0
128,15.0
129,15.0
130,15.0
131,15.0
132,15.0
133,15.0
134,15.0
135,25.0
136,15.0
137,15.0
138,15.0
139,17.0
140,17.0
141,17.0
142,17.0
143,35.0
144,25.0
145,25.0
146,35.0
147,35.0
148,35.0
149,52.0
150,15.0
151,15.0
152,21.0
153,15.0
154,20.0
155,20.0
156,32.0
157,20.0
158,20.0
159,20.0
160,20.0
161,20.0
162,31.0
163,28.0
164,28.0
165,28.0
166,28.0
167,35.0
168,28.0
169,25.0
170,43.0
171,41.0
172,48.0
173,30.0
174,15.0
175,5.0
176,35.0
177,42.0
178,32.0
179,37.0
180,48.0
181,48.0
182,5.0
183,15.0
184,32.0
185,32.0
186,38.0
187,38.0
188,15.0
189,38.0
190,38.0
191,43.0
192,43.0
193,15.0
194,34.0
195,15.0
196,15.0
197,10.0
198,10.0
199,21.0
200,24.0
201,21.0
202,27.0
203,27.0
204,29.0
205,29.0
206,29.0
207,29.0
208,29.0
209,29.0
210,38.0
211,38.0
212,29.0
213,29.0
214,29.0
215,28.0
216,18.0
217,28.0
218,28.0
219,18.0
220,28.0
221,57.0
222,39.0
223,42.0
224,42.0
225,28.2
226,28.2
227,9.0
228,15.0
229,8.0
230,11.0
231,11.0
232,14.0
233,5.0
234,12.0
235,12.0
236,9.0
237,10.0
238,10.0
239,4.0
240,10.0
241,12.0
242,2.0
243,4.0
244,5.0
245,8.0
246,10.0
247,4.0
248,6.0
249,8.0
250,10.0
251,8.0
252,8.0
253,11.0
254,11.0
255,11.0
256,8.0
257,8.0
258,9.9
259,9.9
260,7.0
261,7.0
262,11.0
263,11.0
264,9.0
265,10.0
266,10.0
267,10.0
268,10.0
269,11.0
270,11.0
271,11.0
272,11.0
273,11.0
274,11.0
275,11.0
276,12.0
277,12.0
278,20.0
279,25.0
280,18.0
281,25.0
282,16.0
283,16.0
284,80.0
285,24.0
286,18.0
287,65.0
288,166.0
289,14.0
290,16.0
291,16.0
292,28.0
293,18.0
294,50.0
295,42.0
296,19.0
297,17.0
298,17.0
299,5.0
300,22.0
301,18.0
302,11.0
303,25.0
304,32.0
305,28.0
306,32.0
307,38.0
308,16.0
309,15.0
310,15.0
311,12.0
312,17.0
313,16.0
314,18.0
315,18.0
316,18.0
317,18.0
318,13.0
319,13.0
320,10.0
321,12.0
322,12.0
323,12.0
324,10.0
325,20.0
326,20.0
327,20.0
328,20.0
329,20.0
330,20.0
331,10.0
332,10.0
333,10.0
334,10.0
335,10.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,10.0
344,20.0
345,10.0
346,25.0
347,35.0
348,10.0
349,10.0
