Name,Size,Carbon,Canopy
Abies,39.125,805.775,23.475
Abies alba,36.73548387096774,271.19032258064516,29.080645161290324
Abies nordmanniana,32.0,509.1,28.3
Abies pinsapo,49.0,508.1,63.6
Acacia,40.0,160.3,78.5
Acer,30.67808219178082,714.2821917808219,45.657534246575345
Acer buergerianum,12.6,49.49714285714286,9.982857142857142
Acer campestre,15.104366812227074,80.45807860262009,11.875764192139739
Acer monspessulanum,16.584615384615383,155.07692307692307,13.153846153846153
Acer negundo,32.09157303370787,299.4387640449438,46.40112359550562
Acer opalus,6.0,13.5,3.1
Acer palmatum,29.5,260.0878048780488,22.226829268292683
Acer platanoides,23.394267515923566,185.7095541401274,31.022292993630572
Acer pseudoplatanus,24.589473684210528,240.81578947368422,23.791812865497075
Acer rubrum,17.816666666666666,359.8208333333334,15.820833333333333
Acer saccharinum,37.66516853932584,314.9022471910112,42.19438202247191
Acer tataricum,5.0,8.6,3.1
Acer tataricum ssp. ginnala,4.666666666666667,7.5,3.1
Acer x freemanii,9.653846153846153,37.65,3.9538461538461545
Aesculus,90.0,7500.0,176.7
Aesculus hippocastanum,39.552323580034425,754.9240963855422,40.88691910499139
Ailanthus altissima,69.9,2175.645454545455,48.23636363636364
Albizia julibrissin,45.0,422.6000000000001,76.7
Alnus,11.986486486486486,27.37297297297297,8.641891891891891
Alnus cordata,50.0,456.1,50.3
Alnus glutinosa,32.333333333333336,92.43333333333334,14.933333333333332
Alnus incana,40.4,174.51,25.71
Arbutus unedo,10.0,24.4,0.8
Aucuba japonica,28.2,356.04999999999995,21.7
Berberis thunbergii,28.199999999999996,519.2,21.7
Betula,10.561165048543689,122.5883495145631,10.333980582524273
Betula lenta,15.0,50.8,7.1
Betula nigra,27.25,224.76,17.335
Betula pendula,23.764615384615386,186.79615384615386,22.091538461538462
Buxus sempervirens,28.2,402.425,21.7
Calocedrus decurrens,45.8,447.8,12.6
Calycanthus,28.2,569.3,21.7
Carpinus betulus,17.182089552238807,117.50018656716418,13.54589552238806
Catalpa,50.0,1006.4,38.5
Catalpa bignonioides,47.388888888888886,339.4944444444444,58.02777777777778
Cedrus,62.800000000000004,2692.2555555555555,67.9
Cedrus atlantica,60.917142857142856,1097.902857142857,65.04285714285714
Cedrus deodara,71.5089430894309,1487.7333333333333,76.58658536585365
Cedrus libani,76.28653846153847,3793.123076923077,97.64423076923077
Celtis australis,30.096984435797665,68.80982490272373,42.336186770428014
Cercis siliquastrum,21.68035714285714,314.8857142857143,11.376785714285715
Chamaecyparis,30.2,517.1333333333333,11.333333333333334
Chamaecyparis lawsoniana,29.188888888888886,203.0388888888889,10.655555555555555
Clerodendrum trichotomum,8.736,27.04,6.951999999999999
Cornus,8.5,22.0,2.1
Cornus mas,14.0,70.5,7.1
Cornus nuttallii,28.2,205.8,21.7
Cornus sanguinea,28.2,241.3,21.7
Corylus avellana,28.2,187.69999999999996,0.6833333333333332
Corylus colurna,17.772727272727273,161.98749999999998,16.95340909090909
Corylus maxima,28.2,361.0,21.7
Crataegus,9.548387096774194,25.07741935483871,3.7
Crataegus monogyna,12.26,41.519999999999996,6.840000000000001
Crataegus x lavallei,11.0,20.854545454545455,4.154545454545455
Cupressus,26.067919799498746,496.76942355889724,4.4907268170426065
Cupressus arizonica,56.833333333333336,2469.6,29.983333333333334
Cupressus lusitanica,71.03333333333333,1644.8,30.900000000000002
Cupressus sempervirens,23.59205298013245,264.19271523178804,5.078145695364238
Cupressus torulosa,36.333333333333336,487.6666666666667,22.0
Davidia involucrata,25.74,225.99,18.22
Diospyros kaki,26.0,133.3,23.38571428571429
Diospyros lotus,34.82857142857143,554.4428571428572,18.657142857142855
Elaeagnus,28.2,339.5,21.7
Elaeagnus pungens,28.2,351.84285714285716,21.7
Eriobotrya japonica,26.0,228.70000000000002,6.1000000000000005
Eucalyptus cordata,8.0,3.2,3.1
Fagus,19.772727272727273,486.81363636363636,33.78181818181818
Fagus sylvatica,30.555,702.0541666666667,25.395833333333332
