Regional_indicator,location,region,total_cases,total_deaths,gdp_per_capita,population,people_fully_vaccinated,ratio_total_cases,ratio_total_deaths,ratio_total_vaccinations
Commonwealth of Independent States,Armenia,CWIS,445881.0,8712.0,8787.58,2780472.0,985807.0,16.036162205553588,0.3133280968123398,35.454663812475005
Commonwealth of Independent States,Azerbaijan,CWIS,825656.0,9999.0,15847.419,10358078.0,4862494.0,7.9711313237842,0.09653335300236203,46.94397937532426
Commonwealth of Independent States,Georgia,CWIS,1808085.0,16895.0,9745.079,3744385.0,1276173.0,48.28790308688877,0.4512089435247711,34.082312582707175
Commonwealth of Independent States,Kazakhstan,CWIS,1488306.0,19057.0,24055.588,19397998.0,10613754.0,7.672472179861035,0.09824209694216897,54.71571860147629
Commonwealth of Independent States,Kyrgyzstan,CWIS,206557.0,2991.0,3393.474,6630621.0,1359470.0,3.1151984105259523,0.04510889703996051,20.50290613805253
Commonwealth of Independent States,Tajikistan,CWIS,17786.0,125.0,2896.913,9952789.0,5120562.0,0.1787036779338937,0.0012559293681399255,51.448513577450505
Commonwealth of Independent States,Uzbekistan,CWIS,249045.0,1637.0,6253.104,34627648.0,17529078.0,0.719208535329919,0.004727436295990995,50.621624662466246
East Asia,China,EA,1909905.0,5549.0,15308.712,1425887360.0,1274018000.0,0.13394501231850459,0.00038916117469475287,89.34913344066673
East Asia,Hong Kong,EA,2402238.0,11334.0,56054.92,7488863.0,6781912.0,32.077472908771334,0.15134473684456506,90.55996884974394
East Asia,Japan,EA,27603549.0,54034.0,39002.223,123951696.0,103087581.0,22.269601700326877,0.0435927879518486,83.16754375026866
East Asia,Macao,EA,1569.0,13.0,104861.851,695180.0,629361.0,0.22569694179924624,0.0018700192755833022,90.53209240772175
East Asia,Mongolia,EA,1007250.0,2135.0,11840.846,3398373.0,2175617.0,29.639183220911892,0.06282418086537293,64.01937044579861
East Asia,South Korea,EA,28466390.0,31611.0,35938.374,51815808.0,44708566.0,54.93765531939596,0.06100647894943566,86.28364147095805
East Asia,Taiwan,EA,8624680.0,14995.0,,23893396.0,20608849.0,36.09650130939947,0.06275792691838364,86.25332706995691
Middle East and North Africa,Bahrain,ME,698028.0,1539.0,43290.705,1472237.0,1226796.0,47.412746724881934,0.10453479976389672,83.32870319113024
Middle East and North Africa,Iran,ME,7560629.0,144672.0,19082.62,88550568.0,58508959.0,8.538204972327225,0.1633778340077954,66.07406403084846
Middle East and North Africa,Iraq,ME,2465107.0,25373.0,15663.986,44496124.0,7938409.0,5.540048836613274,0.05702294429060832,17.840675291178172
Middle East and North Africa,Israel,ME,4752447.0,11981.0,33132.32,9449000.0,6157274.0,50.295766747804,0.1267964864006773,65.16323420467775
Middle East and North Africa,Jordan,ME,1746997.0,14122.0,8337.49,11285875.0,4558313.0,15.479499817249437,0.1251298636570049,40.3895400223731
Middle East and North Africa,Kuwait,ME,662747.0,2570.0,65530.537,4268886.0,3342954.0,15.525057356884208,0.0602030600020708,78.30975106854575
Middle East and North Africa,Lebanon,ME,1221791.0,10743.0,13367.565,5489744.0,2413718.0,22.255882970134856,0.1956921852822281,43.967769717495024
Middle East and North Africa,Oman,ME,399154.0,4628.0,37960.709,4576300.0,3048826.0,8.72219915652383,0.10112973362760308,66.62207460175252
Middle East and North Africa,Palestine,ME,703228.0,5708.0,4449.898,5250076.0,1776973.0,13.394625144474098,0.1087222356400174,33.84661479186206
Middle East and North Africa,Saudi Arabia,ME,826667.0,9502.0,49045.411,36408824.0,25351683.0,2.270512774595521,0.02609806897360925,69.63060108725291
Middle East and North Africa,Syria,ME,57423.0,3163.0,,22125242.0,2105113.0,0.2595361442826253,0.014295888831408036,9.514530959706564
