Regions,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Other,Grand Total
ARGENTARIO,61,9,18,5,12,349,454
BONDONE,1,21,3,9,2,256,292
CENTRO STORICO PIEDICASTELLO,242,91,159,55,192,2225,2964
GARDOLO,211,4,53,216,169,998,1651
MATTARELLO,25,1,13,6,6,213,264
MEANO,9,0,2,1,9,185,206
OLTREFERSINA,341,34,126,116,31,2047,2695
POVO,21,13,1,1,2,151,189
RAVINA-ROMAGNANO,15,3,5,34,23,239,319
S.GIUSEPPE-S.CHIARA,83,405,123,31,53,2329,3024
SARDAGNA,0,0,0,0,0,38,38
VILLAZZANO,19,0,33,35,3,326,416
