Name,canopy_cov,count
Celtis australis,42.336186770427965,1028
Aesculus hippocastanum,40.886919104991165,581
Carpinus betulus,13.545895522388207,536
Tilia cordata,19.849115913556044,509
Platanus x hispanica,102.36274900398422,502
Tilia x europaea,33.697876857749485,471
Acer campestre,11.875764192139782,458
Cupressus,4.490726817042577,399
Sophora japonica,39.656648936170185,376
Prunus cerasifera,13.30057142857147,350
Pinus nigra,23.548955223880736,335
Liriodendron tulipifera,11.181727574750791,301
Parrotia persica,6.696323529411736,272
Quercus robur,16.781617647058837,272
Robinia pseudoacacia,32.61561338289967,269
Cedrus deodara,76.58658536585355,246
Platanus x acerifolia 'Bloodgood',49.921818181818274,220
Ostrya carpinifolia,13.715165876777233,211
Prunus avium,14.20528846153844,208
Acer negundo,46.40112359550573,178
Acer pseudoplatanus,23.79181286549705,171
Pyrus calleryana,21.663473053892215,167
Acer platanoides,31.02229299363065,157
Cupressus sempervirens,5.078145695364235,151
Quercus rubra,23.429054054054053,148
Fraxinus excelsior,27.93055555555551,144
Liquidambar styraciflua,16.278014184397133,141
Fraxinus angustifolia,11.982575757575741,132
Fraxinus ornus,22.174045801526738,131
Picea abies,25.848461538461542,130
Betula pendula,22.091538461538416,130
Fagus sylvatica,25.3958333333333,120
Populus nigra,48.512727272727325,110
Betula,10.333980582524271,103
Morus nigra,36.09565217391305,92
Acer saccharinum,42.19438202247192,89
Corylus colurna,16.953409090909066,88
Morus alba,33.07236842105265,76
Alnus,8.641891891891902,74
Acer,45.65753424657534,73
Cedrus atlantica,65.0428571428572,70
Fraxinus,14.288405797101449,69
Quercus pubescens,33.90895522388062,67
Tilia platyphyllos,37.475409836065566,61
Gleditsia triacanthos,32.73166666666665,60
Magnolia grandiflora,7.041666666666674,60
Ginkgo biloba,32.41016949152539,59
Cercis siliquastrum,11.376785714285722,56
Cedrus libani,97.64423076923079,52
Ulmus,81.96274509803928,51
Taxus baccata,32.117021276595736,47
Ulmus minor,62.654347826086955,46
Acer palmatum,22.22682926829269,41
Prunus,11.586842105263168,38
Quercus petraea,31.54473684210525,38
Ligustrum lucidum,23.17777777777778,36
Fraxinus americana,9.036111111111115,36
Thuja orientalis,19.647222222222233,36
Acer buergerianum,9.982857142857151,35
Abies alba,29.08064516129032,31
Pseudotsuga menziesii,27.487096774193553,31
Crataegus,3.699999999999998,31
Pinus sylvestris,17.690000000000012,30
Platanus,172.99999999999994,27
Quercus ilex,18.200000000000014,26
Ulmus glabra,57.619230769230754,26
Acer x freemanii,3.9538461538461545,26
Clerodendrum trichotomum,6.951999999999999,25
Pinus strobus,37.141666666666666,24
Acer rubrum,15.820833333333338,24
Paulownia tomentosa,53.76521739130435,23
Tilia,33.939130434782605,23
Ligustrum japonicum,5.039130434782606,23
Populus alba,84.41363636363634,22
Platanus orientalis,132.6863636363636,22
Fagus,33.78181818181819,22
Berberis thunbergii,21.699999999999992,21
Prunus dulcis,4.752380952380953,21
Pyrus communis,5.666666666666664,21
Platanus occidentalis,117.05499999999999,20
Betula nigra,17.335,20
Prunus serrulata,14.520000000000007,20
Tilia x vulgaris,6.231578947368419,19
Quercus,21.77368421052632,19
Ilex aquifolium,3.9157894736842107,19
Malus floribunda,7.505263157894734,19
Catalpa bignonioides,58.02777777777778,18
Chamaecyparis lawsoniana,10.655555555555553,18
Sambucus nigra,11.1,17
Ilex,13.600000000000003,17
Buxus sempervirens,21.699999999999992,16
Sorbus aucuparia,5.6812499999999995,16
Ligustrum,18.759999999999998,15
Lagerstroemia indica,0.8266666666666668,15
Tilia x euchlora,26.946666666666665,15
Juglans nigra,19.55,14
Koelreuteria paniculata,39.15714285714286,14
Ulmus pumila,105.07142857142857,14
Pterocarya rhoifolia,38.64615384615385,13
Olea europaea,16.092307692307692,13
Magnolia x soulangeana,37.06153846153847,13
Parthenocissus,21.699999999999992,13
Acer monspessulanum,13.153846153846153,13
Corylus avellana,0.6833333333333331,12
Pyrus,9.033333333333331,12
Taxodium distichum,25.275000000000006,12
Picea pungens,14.799999999999999,11
Ailanthus altissima,48.23636363636363,11
Crataegus x lavallei,4.154545454545454,11
Sorbus,6.363636363636362,11
Prunus mahaleb,50.300000000000004,11
Davidia involucrata,18.22,10
Photinia x fraseri,11.449999999999998,10
Alnus incana,25.71,10
Pinus wallichiana,48.18,10
Ficus carica,18.6,10
Cedrus,67.89999999999999,9
Malus,9.777777777777777,9
Thuja,10.488888888888887,9
Salix babylonica,26.144444444444442,9
Larix decidua,19.72222222222222,9
Sorbus thuringiaca,14.287499999999998,8
Abies,23.475,8
Cornus,2.1,8
Metasequoia glyptostroboides,30.624999999999996,8
Nerium oleander,3.028571428571429,7
Elaeagnus pungens,21.699999999999996,7
Sorbus torminalis,17.74285714285714,7
Salix,24.257142857142856,7
Juglans regia,63.17142857142857,7
Prunus laurocerasus,94.82857142857142,7
Diospyros kaki,23.385714285714283,7
Diospyros lotus,18.657142857142855,7
Populus,49.81666666666666,6
Magnolia,8.516666666666667,6
Prunus padus,31.950000000000003,6
Pterocarya,32.15,6
Juniperus chinensis,21.7,6
Laurus nobilis,27.399999999999995,6
Cupressus arizonica,29.983333333333334,6
Corylus maxima,21.7,6
Alnus glutinosa,14.933333333333332,6
Acer tataricum ssp. ginnala,3.1,6
Crataegus monogyna,6.839999999999999,5
Quercus cerris,1.2,5
Zelkova carpinifolia,0.8,5
Photinia serrulata,2.6399999999999997,5
Picea glauca,22.32,5
Picea,28.679999999999996,5
Morus,24.175,4
Picea obovata,11.225,4
Prunus domestica,7.1,4
Pinus,40.599999999999994,4
Tilia tomentosa,7.2250000000000005,4
Juniperus drupacea,13.725000000000001,4
Wisteria sinensis,21.7,4
Albizia julibrissin,76.7,3
Chamaecyparis,11.333333333333334,3
Eriobotrya japonica,6.1000000000000005,3
Sequoiadendron giganteum,40.06666666666667,3
Salix magnifica,21.7,3
Philadelphus,21.7,3
Ulmus laevis,28.8,3
Rhododendron obtusum,21.7,3
Cupressus lusitanica,30.900000000000002,3
Cupressus torulosa,22.0,3
Pittosporum tobira,3.1,3
Osmanthus fragrans,21.7,3
Lonicera,21.7,3
Pinus pinaster,17.833333333333332,3
Juglans,70.56666666666666,3
Pinus halepensis,28.3,3
Pinus coulteri,63.6,2
Thuja occidentalis,11.350000000000001,2
Jasminum,21.7,2
Calycanthus,21.7,2
Populus tremula,86.75,2
Punica granatum,21.7,2
Spiraea japonica,21.7,2
Aucuba japonica,21.7,2
Thuja plicata,7.1,2
Arbutus unedo,0.8,2
Cornus mas,7.1,2
Philadelphus pubescens,21.7,2
Maclura pomifera,3.1,2
Viburnum,21.7,2
Viburnum sieboldii,21.7,2
Hibiscus syriacus,1.1,2
Spiraea,21.7,2
Hedera helix,21.7,2
Salix x sepulcralis v. chrysocoma,21.7,2
Malus sylvestris,9.85,2
Salix alba,39.3,2
Fraxinus angustifolia ssp. Oxycarpa,4.45,2
Cornus sanguinea,21.7,2
Elaeagnus,21.7,2
Sequoia sempervirens,12.6,1
Acacia,78.5,1
Acer tataricum,3.1,1
Torreya nucifera,28.3,1
Total,382146.7,1
Acer opalus,3.1,1
Abies nordmanniana,28.3,1
Pinus bungeana,19.6,1
Abies pinsapo,63.6,1
Aesculus,176.7,1
Pinus cembra,38.5,1
Laburnum anagyroides,21.7,1
Zanthoxylum flavum,21.7,1
Eucalyptus cordata,3.1,1
Alnus cordata,50.3,1
Picea sitchensis,7.1,1
Forsythia viridissima,21.7,1
Forsythia x intermedia,21.7,1
Prunus lusitanica,3.1,1
Magnolia kobus,0.8,1
Rhus typhina,19.6,1
Betula lenta,7.1,1
Calocedrus decurrens,12.6,1
Tamarix gallica,7.1,1
Syringa vulgaris,21.7,1
Lagerstroemia,19.6,1
Catalpa,38.5,1
Prunus amygdalus,0.8,1
Cornus nuttallii,21.7,1
