Region,Name,count
ARGENTARIO,Abies alba,1
ARGENTARIO,Acer campestre,34
ARGENTARIO,Acer negundo,2
ARGENTARIO,Acer platanoides,13
ARGENTARIO,Acer pseudoplatanus,4
ARGENTARIO,Acer rubrum,1
ARGENTARIO,Acer saccharinum,11
ARGENTARIO,Aesculus hippocastanum,9
ARGENTARIO,Arbutus unedo,1
ARGENTARIO,Betula,8
ARGENTARIO,Betula pendula,22
ARGENTARIO,Carpinus betulus,18
ARGENTARIO,Catalpa bignonioides,1
ARGENTARIO,Cedrus atlantica,3
ARGENTARIO,Cedrus deodara,17
ARGENTARIO,Celtis australis,61
ARGENTARIO,Corylus avellana,2
ARGENTARIO,Crataegus,2
ARGENTARIO,Cupressus,25
ARGENTARIO,Cupressus arizonica,1
ARGENTARIO,Cupressus sempervirens,5
ARGENTARIO,Diospyros kaki,1
ARGENTARIO,Fagus,3
ARGENTARIO,Fagus sylvatica,13
ARGENTARIO,Ficus carica,1
ARGENTARIO,Fraxinus americana,1
ARGENTARIO,Fraxinus excelsior,9
ARGENTARIO,Ginkgo biloba,3
ARGENTARIO,Juglans nigra,3
ARGENTARIO,Liquidambar styraciflua,7
ARGENTARIO,Liriodendron tulipifera,3
ARGENTARIO,Magnolia x soulangeana,4
ARGENTARIO,Malus,1
ARGENTARIO,Morus alba,3
ARGENTARIO,Ostrya carpinifolia,13
ARGENTARIO,Parrotia persica,3
ARGENTARIO,Paulownia tomentosa,2
ARGENTARIO,Picea abies,18
ARGENTARIO,Pinus nigra,23
ARGENTARIO,Pinus strobus,5
ARGENTARIO,Pinus wallichiana,3
ARGENTARIO,Platanus occidentalis,2
ARGENTARIO,Platanus x acerifolia 'Bloodgood',1
ARGENTARIO,Platanus x hispanica,12
ARGENTARIO,Populus alba,2
ARGENTARIO,Populus nigra,1
ARGENTARIO,Populus tremula,1
ARGENTARIO,Prunus,5
ARGENTARIO,Prunus amygdalus,1
ARGENTARIO,Prunus avium,1
ARGENTARIO,Prunus cerasifera,5
ARGENTARIO,Prunus dulcis,1
ARGENTARIO,Pyrus calleryana,2
ARGENTARIO,Quercus ilex,5
ARGENTARIO,Quercus robur,25
ARGENTARIO,Robinia pseudoacacia,2
ARGENTARIO,Salix alba,1
ARGENTARIO,Salix babylonica,1
ARGENTARIO,Sambucus nigra,1
ARGENTARIO,Sequoia sempervirens,1
ARGENTARIO,Sophora japonica,5
ARGENTARIO,Sorbus,1
ARGENTARIO,Tilia cordata,5
ARGENTARIO,Tilia x europaea,10
ARGENTARIO,Ulmus minor,2
ARGENTARIO,Ulmus pumila,1
BONDONE,Abies pinsapo,1
BONDONE,Acer buergerianum,1
BONDONE,Acer campestre,9
BONDONE,Acer negundo,1
BONDONE,Acer platanoides,3
BONDONE,Acer pseudoplatanus,8
BONDONE,Acer tataricum ssp. ginnala,1
BONDONE,Aesculus hippocastanum,21
BONDONE,Betula nigra,1
BONDONE,Carpinus betulus,3
BONDONE,Cedrus atlantica,2
BONDONE,Cedrus deodara,5
BONDONE,Celtis australis,1
BONDONE,Cercis siliquastrum,3
BONDONE,Cornus,1
BONDONE,Cupressus,23
BONDONE,Cupressus arizonica,4
BONDONE,Cupressus sempervirens,24
BONDONE,Fagus,10
BONDONE,Fagus sylvatica,4
BONDONE,Ficus carica,1
BONDONE,Juglans nigra,5
BONDONE,Liriodendron tulipifera,6
BONDONE,Morus alba,9
BONDONE,Ostrya carpinifolia,11
BONDONE,Picea,1
BONDONE,Picea abies,13
BONDONE,Pinus nigra,8
BONDONE,Platanus x hispanica,2
BONDONE,Prunus,4
BONDONE,Prunus avium,22
BONDONE,Prunus cerasifera,2
BONDONE,Prunus serrulata,1
BONDONE,Pyrus,1
BONDONE,Pyrus calleryana,25
BONDONE,Quercus rubra,3
BONDONE,Robinia pseudoacacia,3
BONDONE,Sophora japonica,7
BONDONE,Sorbus,1
BONDONE,Sorbus thuringiaca,1
BONDONE,Tilia cordata,9
BONDONE,Tilia tomentosa,3
BONDONE,Tilia x europaea,28
CENTRO STORICO PIEDICASTELLO,Abies alba,19
CENTRO STORICO PIEDICASTELLO,Acer,64
CENTRO STORICO PIEDICASTELLO,Acer buergerianum,4
CENTRO STORICO PIEDICASTELLO,Acer campestre,52
CENTRO STORICO PIEDICASTELLO,Acer monspessulanum,2
CENTRO STORICO PIEDICASTELLO,Acer negundo,99
CENTRO STORICO PIEDICASTELLO,Acer palmatum,11
CENTRO STORICO PIEDICASTELLO,Acer platanoides,24
CENTRO STORICO PIEDICASTELLO,Acer pseudoplatanus,32
CENTRO STORICO PIEDICASTELLO,Acer rubrum,10
CENTRO STORICO PIEDICASTELLO,Acer saccharinum,13
CENTRO STORICO PIEDICASTELLO,Acer tataricum,1
CENTRO STORICO PIEDICASTELLO,Acer x freemanii,2
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,91
CENTRO STORICO PIEDICASTELLO,Ailanthus altissima,1
CENTRO STORICO PIEDICASTELLO,Albizia julibrissin,1
CENTRO STORICO PIEDICASTELLO,Alnus cordata,1
CENTRO STORICO PIEDICASTELLO,Alnus incana,5
CENTRO STORICO PIEDICASTELLO,Betula lenta,1
CENTRO STORICO PIEDICASTELLO,Betula nigra,1
CENTRO STORICO PIEDICASTELLO,Betula pendula,11
CENTRO STORICO PIEDICASTELLO,Buxus sempervirens,11
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,159
CENTRO STORICO PIEDICASTELLO,Catalpa bignonioides,10
CENTRO STORICO PIEDICASTELLO,Cedrus,7
CENTRO STORICO PIEDICASTELLO,Cedrus atlantica,21
CENTRO STORICO PIEDICASTELLO,Cedrus deodara,48
CENTRO STORICO PIEDICASTELLO,Cedrus libani,40
CENTRO STORICO PIEDICASTELLO,Celtis australis,242
CENTRO STORICO PIEDICASTELLO,Cercis siliquastrum,10
CENTRO STORICO PIEDICASTELLO,Chamaecyparis,1
CENTRO STORICO PIEDICASTELLO,Chamaecyparis lawsoniana,2
CENTRO STORICO PIEDICASTELLO,Clerodendrum trichotomum,11
CENTRO STORICO PIEDICASTELLO,Cornus nuttallii,1
CENTRO STORICO PIEDICASTELLO,Corylus avellana,4
CENTRO STORICO PIEDICASTELLO,Corylus colurna,4
CENTRO STORICO PIEDICASTELLO,Corylus maxima,1
CENTRO STORICO PIEDICASTELLO,Crataegus monogyna,2
CENTRO STORICO PIEDICASTELLO,Crataegus x lavallei,9
CENTRO STORICO PIEDICASTELLO,Cupressus,2
CENTRO STORICO PIEDICASTELLO,Cupressus sempervirens,26
CENTRO STORICO PIEDICASTELLO,Davidia involucrata,1
CENTRO STORICO PIEDICASTELLO,Diospyros kaki,2
CENTRO STORICO PIEDICASTELLO,Diospyros lotus,4
CENTRO STORICO PIEDICASTELLO,Fagus,2
CENTRO STORICO PIEDICASTELLO,Fagus sylvatica,34
CENTRO STORICO PIEDICASTELLO,Ficus carica,2
CENTRO STORICO PIEDICASTELLO,Fraxinus,59
CENTRO STORICO PIEDICASTELLO,Fraxinus angustifolia,26
CENTRO STORICO PIEDICASTELLO,Fraxinus angustifolia ssp. Oxycarpa,1
CENTRO STORICO PIEDICASTELLO,Fraxinus excelsior,38
CENTRO STORICO PIEDICASTELLO,Fraxinus ornus,80
CENTRO STORICO PIEDICASTELLO,Ginkgo biloba,31
CENTRO STORICO PIEDICASTELLO,Gleditsia triacanthos,1
CENTRO STORICO PIEDICASTELLO,Hedera helix,2
CENTRO STORICO PIEDICASTELLO,Hibiscus syriacus,1
CENTRO STORICO PIEDICASTELLO,Ilex,14
CENTRO STORICO PIEDICASTELLO,Ilex aquifolium,3
CENTRO STORICO PIEDICASTELLO,Juglans nigra,1
CENTRO STORICO PIEDICASTELLO,Juglans regia,4
CENTRO STORICO PIEDICASTELLO,Koelreuteria paniculata,10
CENTRO STORICO PIEDICASTELLO,Laburnum anagyroides,1
CENTRO STORICO PIEDICASTELLO,Lagerstroemia indica,9
CENTRO STORICO PIEDICASTELLO,Larix decidua,4
CENTRO STORICO PIEDICASTELLO,Laurus nobilis,2
CENTRO STORICO PIEDICASTELLO,Ligustrum,4
CENTRO STORICO PIEDICASTELLO,Ligustrum japonicum,9
CENTRO STORICO PIEDICASTELLO,Ligustrum lucidum,16
CENTRO STORICO PIEDICASTELLO,Liquidambar styraciflua,43
CENTRO STORICO PIEDICASTELLO,Liriodendron tulipifera,86
CENTRO STORICO PIEDICASTELLO,Lonicera,3
CENTRO STORICO PIEDICASTELLO,Magnolia,2
CENTRO STORICO PIEDICASTELLO,Magnolia grandiflora,32
CENTRO STORICO PIEDICASTELLO,Magnolia kobus,1
CENTRO STORICO PIEDICASTELLO,Magnolia x soulangeana,4
CENTRO STORICO PIEDICASTELLO,Malus,2
CENTRO STORICO PIEDICASTELLO,Metasequoia glyptostroboides,2
CENTRO STORICO PIEDICASTELLO,Morus,1
CENTRO STORICO PIEDICASTELLO,Morus nigra,6
CENTRO STORICO PIEDICASTELLO,Nerium oleander,5
CENTRO STORICO PIEDICASTELLO,Olea europaea,9
CENTRO STORICO PIEDICASTELLO,Osmanthus fragrans,1
CENTRO STORICO PIEDICASTELLO,Ostrya carpinifolia,88
CENTRO STORICO PIEDICASTELLO,Parrotia persica,75
CENTRO STORICO PIEDICASTELLO,Paulownia tomentosa,13
CENTRO STORICO PIEDICASTELLO,Philadelphus pubescens,2
CENTRO STORICO PIEDICASTELLO,Photinia serrulata,3
CENTRO STORICO PIEDICASTELLO,Photinia x fraseri,4
CENTRO STORICO PIEDICASTELLO,Picea,1
CENTRO STORICO PIEDICASTELLO,Picea abies,15
CENTRO STORICO PIEDICASTELLO,Picea glauca,4
CENTRO STORICO PIEDICASTELLO,Pinus,2
CENTRO STORICO PIEDICASTELLO,Pinus coulteri,1
CENTRO STORICO PIEDICASTELLO,Pinus nigra,58
CENTRO STORICO PIEDICASTELLO,Pinus strobus,4
CENTRO STORICO PIEDICASTELLO,Pinus sylvestris,3
CENTRO STORICO PIEDICASTELLO,Pinus wallichiana,3
CENTRO STORICO PIEDICASTELLO,Pittosporum tobira,1
CENTRO STORICO PIEDICASTELLO,Platanus,1
CENTRO STORICO PIEDICASTELLO,Platanus occidentalis,2
CENTRO STORICO PIEDICASTELLO,Platanus orientalis,1
CENTRO STORICO PIEDICASTELLO,Platanus x acerifolia 'Bloodgood',44
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,192
CENTRO STORICO PIEDICASTELLO,Populus,5
CENTRO STORICO PIEDICASTELLO,Populus alba,7
CENTRO STORICO PIEDICASTELLO,Populus nigra,52
CENTRO STORICO PIEDICASTELLO,Prunus,10
CENTRO STORICO PIEDICASTELLO,Prunus avium,19
CENTRO STORICO PIEDICASTELLO,Prunus cerasifera,46
CENTRO STORICO PIEDICASTELLO,Prunus laurocerasus,1
CENTRO STORICO PIEDICASTELLO,Prunus lusitanica,1
CENTRO STORICO PIEDICASTELLO,Prunus mahaleb,8
CENTRO STORICO PIEDICASTELLO,Prunus padus,5
CENTRO STORICO PIEDICASTELLO,Pseudotsuga menziesii,3
CENTRO STORICO PIEDICASTELLO,Pterocarya rhoifolia,4
CENTRO STORICO PIEDICASTELLO,Pyrus,1
CENTRO STORICO PIEDICASTELLO,Pyrus communis,2
CENTRO STORICO PIEDICASTELLO,Quercus,4
CENTRO STORICO PIEDICASTELLO,Quercus ilex,5
CENTRO STORICO PIEDICASTELLO,Quercus petraea,23
CENTRO STORICO PIEDICASTELLO,Quercus pubescens,66
CENTRO STORICO PIEDICASTELLO,Quercus robur,40
CENTRO STORICO PIEDICASTELLO,Quercus rubra,68
CENTRO STORICO PIEDICASTELLO,Rhododendron obtusum,2
CENTRO STORICO PIEDICASTELLO,Rhus typhina,1
CENTRO STORICO PIEDICASTELLO,Robinia pseudoacacia,83
CENTRO STORICO PIEDICASTELLO,Salix,5
CENTRO STORICO PIEDICASTELLO,Salix x sepulcralis v. chrysocoma,1
CENTRO STORICO PIEDICASTELLO,Sambucus nigra,8
CENTRO STORICO PIEDICASTELLO,Sequoiadendron giganteum,2
CENTRO STORICO PIEDICASTELLO,Sophora japonica,114
CENTRO STORICO PIEDICASTELLO,Sorbus aucuparia,1
CENTRO STORICO PIEDICASTELLO,Sorbus thuringiaca,1
CENTRO STORICO PIEDICASTELLO,Spiraea,1
CENTRO STORICO PIEDICASTELLO,Taxodium distichum,3
CENTRO STORICO PIEDICASTELLO,Taxus baccata,31
CENTRO STORICO PIEDICASTELLO,Thuja,4
CENTRO STORICO PIEDICASTELLO,Thuja orientalis,32
CENTRO STORICO PIEDICASTELLO,Tilia,5
CENTRO STORICO PIEDICASTELLO,Tilia cordata,55
CENTRO STORICO PIEDICASTELLO,Tilia platyphyllos,17
CENTRO STORICO PIEDICASTELLO,Tilia x europaea,42
CENTRO STORICO PIEDICASTELLO,Ulmus,21
CENTRO STORICO PIEDICASTELLO,Ulmus glabra,8
CENTRO STORICO PIEDICASTELLO,Ulmus minor,13
CENTRO STORICO PIEDICASTELLO,Ulmus pumila,7
CENTRO STORICO PIEDICASTELLO,Wisteria sinensis,1
CENTRO STORICO PIEDICASTELLO,Zelkova carpinifolia,5
GARDOLO,Acer campestre,37
GARDOLO,Acer monspessulanum,1
GARDOLO,Acer negundo,4
GARDOLO,Acer palmatum,1
GARDOLO,Acer platanoides,3
GARDOLO,Acer pseudoplatanus,24
GARDOLO,Acer saccharinum,26
GARDOLO,Acer tataricum ssp. ginnala,4
GARDOLO,Acer x freemanii,19
GARDOLO,Aesculus hippocastanum,4
GARDOLO,Ailanthus altissima,1
GARDOLO,Albizia julibrissin,2
GARDOLO,Alnus,21
GARDOLO,Alnus glutinosa,3
GARDOLO,Betula,1
GARDOLO,Betula nigra,18
GARDOLO,Betula pendula,14
GARDOLO,Carpinus betulus,53
GARDOLO,Catalpa,1
GARDOLO,Cedrus atlantica,2
GARDOLO,Cedrus deodara,10
GARDOLO,Celtis australis,211
GARDOLO,Cercis siliquastrum,10
GARDOLO,Corylus avellana,2
GARDOLO,Corylus maxima,1
GARDOLO,Cupressus,14
