Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,canopy_cov,index_right,numero_cir,area,perimetro,Region,fumetto
1.0,Acer pseudoplatanus,8,179.43,12,1.92,1.1,0.17,0,0.01,,,5.1,0.03,,0.21,2.8,3.5,1,1.5,1.8,3.5,0.2,46.05159914222883,11.07201360817719,POINT (11.07201360817719 46.05159914222883),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
2.0,Acer pseudoplatanus,8,179.43,12.9,2.07,1.1,0.18,0,0.01,,,6.1,0.03,,0.23,3,5,1.5,1.5,1.8,4.2,0.3,46.05154063059297,11.07210837029894,POINT (11.07210837029894 46.05154063059297),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
3.0,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,5.8,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4,0.3,46.05166844032708,11.07195932258184,POINT (11.07195932258184 46.05166844032708),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
7.0,Cupressus,25,1110.29,448.2,72.02,11.1,1.78,0,0.02,,,9.6,0.05,,1.85,29.5,8,2.4,1.5,1.8,6.6,1.5,46.05230472219292,11.07155020138579,POINT (11.07155020138579 46.05230472219292),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
8.0,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,6.1,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4.2,0.3,46.05200199105902,11.07176613353604,POINT (11.07176613353604 46.05200199105902),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
9.0,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,6.9,0.04,,0.28,3.8,4,1.2,2,3.1,4.8,0.3,46.05187389130863,11.07185674217745,POINT (11.07185674217745 46.05187389130863),3.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
10.0,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,8.4,0.04,,0.29,3.8,4,1.2,2,3.1,5.8,0.4,46.05213519552098,11.07167196661425,POINT (11.07167196661425 46.05213519552098),3.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11.0,Acer pseudoplatanus,9,227.09,15.5,2.49,1.2,0.2,0,0.01,,,5.7,0.03,,0.24,3.3,3.5,1,1.5,1.8,3.9,0.3,46.05255109768282,11.0714391951951,POINT (11.0714391951951 46.05255109768282),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
12.0,Acer pseudoplatanus,10,280.36,20.9,3.35,1.5,0.23,0,0.02,,,9,0.05,,0.3,3.9,5,1.5,2,3.1,6.2,0.4,46.05246897627755,11.07147102669315,POINT (11.07147102669315 46.05246897627755),3.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
13.0,Acer platanoides,10,289.26,21.3,3.42,1.9,0.31,0,0.03,,,13.5,0.07000000000000001,,0.41,5.2,5,1.5,2.5,4.9,9.300000000000001,0.5,46.05195384017514,11.07180078624228,POINT (11.07180078624228 46.05195384017514),4.9,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
14.0,Acer pseudoplatanus,8,179.43,12.3,1.97,1.1,0.17,0,0.02,,,6.8,0.04,,0.22,2.9,4,1.2,2,3.1,4.7,0.3,46.05240384391877,11.07149909835312,POINT (11.07149909835312 46.05240384391877),3.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
15.0,Acer platanoides,9,234.3,16.9,2.72,1.7,0.28,0,0.02,,,9.699999999999999,0.05,,0.35,4.6,5,1.5,2,3.1,6.7,0.4,46.05223780779593,11.07159216735395,POINT (11.07159216735395 46.05223780779593),3.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
16.0,Acer pseudoplatanus,9,227.09,15.1,2.43,1.2,0.19,0,0.01,,,4.2,0.02,,0.22,3.2,3,0.9,1.5,1.8,2.9,0.2,46.05174871939224,11.07193479161635,POINT (11.07193479161635 46.05174871939224),1.8,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
17.0,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,6.4,0.03,,0.27,3.8,4,1.2,2,3.1,4.4,0.3,46.05137875257444,11.07226493287884,POINT (11.07226493287884 46.05137875257444),3.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
398.0,Prunus serrulata,22,836.12,172.8,27.76,5.9,0.96,0.1,0.13,,,52.8,0.27,,1.35,15.9,6,1.8,6,28.3,36.4,2.8,46.06456942102297,11.09765741095158,POINT (11.09765741095158 46.06456942102297),28.3,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
415.0,Parrotia persica,11,482.32,25.4,4.08,1.2,0.19,0,0.03,,,12.1,0.06,,0.29,3.2,4,1.2,3,7.1,8.4,0.4,46.06448033530889,11.09766618941621,POINT (11.09766618941621 46.06448033530889),7.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
416.0,Parrotia persica,18,744.35,83.40000000000001,13.4,2.4,0.39,0.1,0.15,,,62,0.32,,0.86,6.5,7,2.1,5,19.6,42.7,2.2,46.06439188630448,11.09767460408896,POINT (11.09767460408896 46.06439188630448),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
417.0,Parrotia persica,18,744.35,83.40000000000001,13.4,2.4,0.39,0.1,0.15,,,62,0.32,,0.86,6.5,7,2.1,5,19.6,42.7,2.2,46.06430307041352,11.09768339273195,POINT (11.09768339273195 46.06430307041352),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
418.0,Parrotia persica,18,744.35,83.40000000000001,13.4,2.4,0.39,0.1,0.12,,,52,0.27,,0.78,6.5,6,1.8,5,19.6,35.9,1.8,46.06420162468022,11.09769377155014,POINT (11.09769377155014 46.06420162468022),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
