Regional_indicator,Regional_indicator_id,location,region,total_cases,population,aged_65_older,total_cases_share
South Asia,3,India,SA,44677739.0,1417173120.0,5.989,3.1525957111012666
East Asia,1,South Korea,EA,28466390.0,51815808.0,13.914,54.93765531939596
East Asia,1,Japan,EA,27603549.0,123951696.0,27.049,22.269601700326877
Middle East and North Africa,2,Turkey,ME,16919638.0,85341248.0,8.153,19.825861932555753
Southeast Asia,4,Vietnam,SEA,11523567.0,98186856.0,7.15,11.736364183002253
Middle East and North Africa,2,Iran,ME,7560629.0,88550568.0,5.44,8.538204972327225
Southeast Asia,4,Indonesia,SEA,6712826.0,275501344.0,5.319,2.436585572519022
Southeast Asia,4,Malaysia,SEA,5020384.0,33938216.0,6.293,14.792716270059685
Middle East and North Africa,2,Israel,ME,4752447.0,9449000.0,11.733,50.295766747804
Southeast Asia,4,Thailand,SEA,4718908.0,71697024.0,11.373,6.5817348290495294
Southeast Asia,4,Philippines,SEA,4058465.0,115559008.0,4.803,3.5120282444792186
Middle East and North Africa,2,Iraq,ME,2465107.0,44496124.0,3.186,5.540048836613274
East Asia,1,Hong Kong,EA,2402238.0,7488863.0,16.303,32.077472908771334
Southeast Asia,4,Singapore,SEA,2192690.0,5637022.0,12.922,38.89802097632402
South Asia,3,Bangladesh,SA,2036987.0,171186368.0,5.098,1.1899236041972687
East Asia,1,China,EA,1909905.0,1425887360.0,10.641,0.13394501231850459
Commonwealth of Independent States,0,Georgia,CWIS,1808085.0,3744385.0,14.864,48.28790308688877
Middle East and North Africa,2,Jordan,ME,1746997.0,11285875.0,3.81,15.479499817249437
South Asia,3,Pakistan,SA,1575486.0,235824864.0,4.495,0.6680745928470037
Commonwealth of Independent States,0,Kazakhstan,CWIS,1488306.0,19397998.0,6.991,7.672472179861035
Middle East and North Africa,2,Lebanon,ME,1221791.0,5489744.0,8.514,22.255882970134856
Middle East and North Africa,2,United Arab Emirates,ME,1046359.0,9441138.0,1.144,11.082975378603724
East Asia,1,Mongolia,EA,1007250.0,3398373.0,4.031,29.639183220911892
South Asia,3,Nepal,SA,1000961.0,30547586.0,5.809,3.2767270055316313
Middle East and North Africa,2,Saudi Arabia,ME,826667.0,36408824.0,3.295,2.270512774595521
Commonwealth of Independent States,0,Azerbaijan,CWIS,825656.0,10358078.0,6.018,7.9711313237842
Middle East and North Africa,2,Palestine,ME,703228.0,5250076.0,3.043,13.394625144474098
Middle East and North Africa,2,Bahrain,ME,698028.0,1472237.0,2.372,47.412746724881934
South Asia,3,Sri Lanka,SA,671831.0,21832150.0,10.069,3.077255332159224
Middle East and North Africa,2,Kuwait,ME,662747.0,4268886.0,2.345,15.525057356884208
Southeast Asia,4,Myanmar,SEA,633585.0,54179312.0,5.732,1.1694223802620454
Commonwealth of Independent States,0,Armenia,CWIS,445881.0,2780472.0,11.232,16.036162205553588
Middle East and North Africa,2,Oman,ME,399154.0,4576300.0,2.355,8.72219915652383
Southeast Asia,4,Brunei,SEA,266819.0,449002.0,4.591,59.42490233896508
Commonwealth of Independent States,0,Uzbekistan,CWIS,249045.0,34627648.0,4.469,0.719208535329919
Southeast Asia,4,Laos,SEA,217586.0,7529477.0,4.029,2.889789025187274
South Asia,3,Afghanistan,SA,207190.0,41128772.0,2.581,0.5037592661409876
Commonwealth of Independent States,0,Kyrgyzstan,CWIS,206557.0,6630621.0,4.489,3.1151984105259523
South Asia,3,Maldives,SA,185666.0,523798.0,4.12,35.44610708708319
Southeast Asia,4,Cambodia,SEA,138457.0,16767851.0,4.412,0.8257289500008081
South Asia,3,Bhutan,SA,62524.0,782457.0,4.885,7.990726646959513
Southeast Asia,4,Timor,SEA,23386.0,1341298.0,3.556,1.7435349937150433
Commonwealth of Independent States,0,Tajikistan,CWIS,17786.0,9952789.0,3.466,0.1787036779338937
Middle East and North Africa,2,Yemen,ME,11945.0,33696612.0,2.922,0.03544866765833907
East Asia,1,Macao,EA,1569.0,695180.0,9.798,0.22569694179924624
East Asia,1,North Korea,EA,1.0,26069416.0,9.491,3.83591254978631e-06
