Name,DBH (cm),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Tilia cordata,8,4.5,1.3,3,7.1,0.8,0.13
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,7,4,1.2,2,3.1,0.7,0.11
Tilia cordata,18,6,1.8,6,28.3,2.4,0.39
Tilia cordata,17,7,2.1,6,28.3,2.3,0.36
Tilia cordata,17,7,2.1,6,28.3,2.3,0.36
Tilia cordata,14,7,2.1,5,19.6,1.7,0.28
Tilia cordata,8,4.5,1.3,3,7.1,0.8,0.13
Tilia cordata,10,4.5,1.3,2.5,4.9,1.1,0.18
Tilia cordata,8,4.5,1.3,1,0.8,0.8,0.13
Tilia cordata,8,4.5,1.3,2,3.1,0.8,0.13
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,8,4.5,1.3,3,7.1,0.8,0.13
Tilia cordata,8,2,0.6,1,0.8,0.8,0.13
Tilia cordata,7,4.5,1.3,2,3.1,0.7,0.11
Tilia cordata,7,4.5,1.3,2,3.1,0.7,0.11
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,9,4.5,1.3,2.5,4.9,1,0.16
Tilia cordata,10,4.5,1.3,2.5,4.9,1.1,0.18
Tilia cordata,10,4.5,1.3,2.5,4.9,1.1,0.18
Tilia cordata,10,5,1.5,2.5,4.9,1.1,0.18
Tilia cordata,10,4.5,1.3,2.5,4.9,1.1,0.18
Tilia cordata,11,5,1.5,2.5,4.9,1.3,0.2
Tilia cordata,11,5,1.5,2.5,4.9,1.3,0.2
Tilia cordata,11,5,1.5,2.5,4.9,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,11,5,1.5,2.5,4.9,1.3,0.2
Tilia cordata,11,5,1.5,2.5,4.9,1.3,0.2
Tilia cordata,13,6,1.8,4,12.6,1.6,0.25
Tilia cordata,13,6,1.8,4,12.6,1.6,0.25
Tilia cordata,19,6,1.8,5,19.6,2.6,0.42
Carpinus betulus,11,4.5,1.3,2,3.1,1.9,0.3
Carpinus betulus,11,4,1.2,1.5,1.8,1.9,0.3
Carpinus betulus,11,5,1.5,4,12.6,1.9,0.3
Carpinus betulus,10,4.5,1.3,3,7.1,1.7,0.27
Tilia cordata,10,5,1.5,4,12.6,1.1,0.18
Tilia cordata,10,5,1.5,4,12.6,1.1,0.18
Tilia cordata,10,4,1.2,4,12.6,1.1,0.18
Tilia cordata,10,5,1.5,4,12.6,1.1,0.18
Tilia cordata,10,5,1.5,4,12.6,1.1,0.18
Tilia cordata,10,5,1.5,4,12.6,1.1,0.18
Carpinus betulus,11,4,1.2,3,7.1,1.9,0.3
Carpinus betulus,11,4,1.2,3,7.1,1.9,0.3
Carpinus betulus,12,4.5,1.3,4,12.6,2.1,0.34
Celtis australis,16,6,1.8,6,28.3,0.8,0.14
Celtis australis,16,6,1.8,6,28.3,0.8,0.14
Celtis australis,166,6,1.8,6,28.3,0.1,0.02
Celtis australis,14,5.5,1.7,5,19.6,0.8,0.12
Celtis australis,16,6.5,1.9,6,28.3,0.8,0.14
Celtis australis,19,4.5,1.3,5,19.6,1,0.15
Celtis australis,17,5,1.5,5,19.6,0.9,0.14
Celtis australis,17,4.5,1.3,5,19.6,0.9,0.14
Celtis australis,15,4.5,1.3,5,19.6,0.8,0.13
Celtis australis,15,4,1.2,4,12.6,0.8,0.13
Celtis australis,14,4,1.2,4,12.6,0.8,0.12
Celtis australis,14,4,1.2,4,12.6,0.8,0.12
Celtis australis,14,4,1.2,4,12.6,0.8,0.12
Celtis australis,14,4,1.2,4,12.6,0.8,0.12
Celtis australis,13,4,1.2,4,12.6,0.7,0.12
Tilia cordata,15,8,2.4,6,28.3,1.9,0.31
Tilia cordata,15,8,2.4,6,28.3,1.9,0.31
Tilia cordata,24,10,3,8,50.3,3.6,0.58
Celtis australis,38,9,2.7,14,153.9,1.6,0.25
Celtis australis,32,8,2.4,12,113.1,1.4,0.22
Celtis australis,32,8,2.4,12,113.1,1.4,0.22
Platanus x hispanica,40,15,4.5,9,63.6,11.3,1.82
Tilia cordata,18,7,2.1,6,28.3,2.4,0.39
Tilia cordata,18,7,2.1,6,28.3,2.4,0.39
Tilia cordata,18,7,2.1,6,28.3,2.4,0.39
Tilia cordata,18,7,2.1,6,28.3,2.4,0.39
Tilia cordata,18,7,2.1,6,28.3,2.4,0.39
Tilia cordata,15,6,1.8,5,19.6,1.9,0.31
Tilia cordata,15,6,1.8,5,19.6,1.9,0.31
Tilia cordata,15,6,1.8,4,12.6,1.9,0.31
Tilia cordata,15,6,1.8,5,19.6,1.9,0.31
Tilia cordata,19,7,2.1,6,28.3,2.6,0.42
Tilia cordata,19,7,2.1,6,28.3,2.6,0.42
Tilia cordata,19,7,2.1,6,28.3,2.6,0.42
Tilia cordata,14,7,2.1,5,19.6,1.7,0.28
Tilia cordata,15,6,1.8,4,12.6,1.9,0.31
Tilia cordata,10,6,1.8,4,12.6,1.1,0.18
Tilia cordata,18,8,2.4,6,28.3,2.4,0.39
Tilia cordata,15,8,2.4,4,12.6,1.9,0.31
Tilia cordata,15,8,2.4,4,12.6,1.9,0.31
Tilia cordata,15,8,2.4,4,12.6,1.9,0.31
Tilia cordata,18,8,2.4,4,12.6,2.4,0.39
Tilia cordata,18,8,2.4,4,12.6,2.4,0.39
Tilia cordata,9,5,1.5,3,7.1,1,0.16
Tilia cordata,17,7,2.1,4,12.6,2.3,0.36
Tilia cordata,13,5,1.5,3,7.1,1.6,0.25
Tilia cordata,13,7,2.1,4,12.6,1.6,0.25
Carpinus betulus,20,12,3.6,3,7.1,3.9,0.63
Carpinus betulus,20,12,3.6,3,7.1,3.9,0.63
Carpinus betulus,20,12,3.6,3,7.1,3.9,0.63
Carpinus betulus,20,8,2.4,3,7.1,3.9,0.63
Carpinus betulus,20,8,2.4,3,7.1,3.9,0.63
Carpinus betulus,20,8,2.4,3,7.1,3.9,0.63
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,10,8,2.4,3,7.1,1.7,0.27
Carpinus betulus,20,6,1.8,3,7.1,3.9,0.63
Carpinus betulus,10,4,1.2,3,7.1,1.7,0.27
Carpinus betulus,25,15,4.5,4,12.6,5.3,0.85
